Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_0,0,1074,0,0,0,0,0,1073,0,1073,11.746,0,64.093,49.111,0,0.630,2.023,0.020,0.584,0.342,2.900,3.137,2.506,2.895,0.091
Track_1,1,1074,0,0,0,0,0,1073,0,1073,36.917,1,58.540,73.338,0,0.727,3.098,0.017,0.654,0.428,2.898,3.239,2.477,2.894,0.125
Track_2,2,1074,0,0,0,0,0,1073,0,1073,13.329,2,288.556,82.021,0,0.711,2.925,0.017,0.642,0.405,3.252,3.451,2.736,3.284,0.125
Track_3,3,1074,0,0,0,0,0,1073,0,1073,16.707,3,258.251,84.155,0,0.765,8.187,0.013,0.685,0.520,2.983,3.482,2.500,2.990,0.186
Track_4,4,1074,0,0,0,0,0,1073,0,1073,44.752,4,233.120,147.775,0,0.819,3.003,0.023,0.728,0.475,3.545,3.917,3.031,3.538,0.201
Track_5,5,1074,0,0,0,0,0,1073,0,1073,30.471,5,447.129,144.902,0,0.874,3.873,0.032,0.762,0.554,3.350,3.906,2.274,3.373,0.298
Track_6,6,1074,0,0,0,0,0,1073,0,1073,20.512,6,347.627,170.582,0,0.693,2.357,0.033,0.650,0.381,3.743,3.905,3.488,3.745,0.067
Track_7,7,1074,0,0,0,0,0,1073,0,1073,23.900,7,123.156,196.489,0,0.833,2.975,0.020,0.783,0.459,3.110,3.432,2.626,3.133,0.174
Track_8,8,1074,0,0,0,0,0,1073,0,1073,29.388,8,450.300,223.969,0,0.738,2.324,0.027,0.677,0.409,2.913,3.251,2.523,2.926,0.108
Track_9,9,1074,0,0,0,0,0,1073,0,1073,30.560,9,453.226,247.766,0,0.801,2.829,0.035,0.724,0.473,1.934,2.107,1.655,1.943,0.075
Track_10,10,1074,0,0,0,0,0,1073,0,1073,6.207,10,207.866,253.517,0,0.511,1.987,0.009,0.460,0.281,3.876,3.941,3.691,3.904,0.060
Track_11,11,1074,0,0,0,0,0,1073,0,1073,4.884,11,343.433,285.408,0,0.554,1.941,0.015,0.516,0.322,2.793,3.002,2.593,2.788,0.076
Track_12,12,1074,0,0,0,0,0,1073,0,1073,5.754,12,369.843,301.398,0,0.453,1.393,0.015,0.407,0.267,2.284,2.564,1.916,2.280,0.125
Track_13,13,1074,0,0,0,0,0,1073,0,1073,13.970,13,519.059,309.600,0,0.799,2.770,0.019,0.740,0.430,3.637,3.942,3.107,3.664,0.145
Track_14,14,1074,0,0,0,0,0,1073,0,1073,4.635,14,347.633,323.800,0,0.529,1.913,0.009,0.474,0.321,2.913,3.110,2.726,2.919,0.068
Track_15,15,1074,0,0,0,0,0,1073,0,1073,52.931,15,378.963,421.477,0,0.855,3.447,0.028,0.775,0.483,3.375,3.872,2.518,3.391,0.196
Track_16,16,1074,0,0,0,0,0,1073,0,1073,21.146,16,339.124,463.840,0,0.849,3.543,0.014,0.741,0.523,2.988,3.967,2.330,2.892,0.403
Track_17,17,5,0,0,0,0,0,4,76,80,0.312,17,487.471,120.529,0,0.882,1.620,0.192,1.372,0.719,0.023,0.066,0.001,0.015,0.023
Track_18,18,2,0,0,0,0,0,1,116,117,0.990,18,133.618,213.272,0,0.990,0.990,0.990,0.990,NaN,2.044,2.086,2.001,2.086,0.042
